phase,epoch,accuracy,auc,loss,precision,recall,val_accuracy,val_auc,val_loss,val_precision,val_recall,learning_rate
fine-tuning,1,0.8769470453262329,0.9358879923820496,0.712552011013031,0.7799999713897705,0.9927272796630859,0.8695651888847351,0.9328134059906006,0.8689002990722656,0.7666666507720947,1.0,0.00019999999494757503
fine-tuning,2,0.8862928152084351,0.9431161880493164,0.7043168544769287,0.7919074892997742,0.996363639831543,0.8695651888847351,0.9328134059906006,0.8501511216163635,0.7666666507720947,1.0,0.00019999999494757503
fine-tuning,3,0.8862928152084351,0.954451322555542,0.6327929496765137,0.7936046719551086,0.9927272796630859,0.8695651888847351,0.9328134655952454,0.8329718112945557,0.7666666507720947,1.0,0.00019999999494757503
fine-tuning,4,0.8909657597541809,0.9442506432533264,0.6380636096000671,0.7988338470458984,0.996363639831543,0.8695651888847351,0.9379332065582275,0.8153397440910339,0.7727272510528564,0.9855072498321533,0.00019999999494757503
fine-tuning,5,0.8831775784492493,0.9419469833374023,0.667335569858551,0.7873563170433044,0.996363639831543,0.8757764101028442,0.9379331469535828,0.79765784740448,0.7816091775894165,0.9855072498321533,0.00019999999494757503
fine-tuning,6,0.8862928152084351,0.9413028955459595,0.6257936954498291,0.7953216433525085,0.9890909194946289,0.8757764101028442,0.9432103633880615,0.7809067964553833,0.7816091775894165,0.9855072498321533,0.00019999999494757503
fine-tuning,7,0.8878504633903503,0.9459202289581299,0.6638582944869995,0.795918345451355,0.9927272796630859,0.8819875717163086,0.9432104229927063,0.763927698135376,0.7906976938247681,0.9855072498321533,0.00019999999494757503
fine-tuning,8,0.8925233483314514,0.9458954930305481,0.6301426887512207,0.8047337532043457,0.9890909194946289,0.8819875717163086,0.9432103633880615,0.7477006912231445,0.7906976938247681,0.9855072498321533,0.00019999999494757503
fine-tuning,9,0.8894081115722656,0.9535050392150879,0.5458025336265564,0.7982456088066101,0.9927272796630859,0.8819875717163086,0.9423439502716064,0.7326676249504089,0.7906976938247681,0.9855072498321533,0.00019999999494757503
fine-tuning,10,0.8940809965133667,0.9470745325088501,0.5916178226470947,0.8053097128868103,0.9927272796630859,0.8819875717163086,0.9423439502716064,0.7175445556640625,0.7906976938247681,0.9855072498321533,0.00019999999494757503
fine-tuning,11,0.8878504633903503,0.9413822293281555,0.6394327878952026,0.7976539731025696,0.9890909194946289,0.8819875717163086,0.9425015449523926,0.701947808265686,0.7906976938247681,0.9855072498321533,0.00019999999494757503
fine-tuning,12,0.8909657597541809,0.9517860412597656,0.5254496335983276,0.8005865216255188,0.9927272796630859,0.8819875717163086,0.9425803422927856,0.6870388984680176,0.7906976938247681,0.9855072498321533,0.00019999999494757503
fine-tuning,13,0.8971962332725525,0.9536884427070618,0.5635465383529663,0.8100889921188354,0.9927272796630859,0.8819875717163086,0.9477001428604126,0.672881007194519,0.7906976938247681,0.9855072498321533,0.00019999999494757503
fine-tuning,14,0.8971962332725525,0.9581620097160339,0.5191599726676941,0.8100889921188354,0.9927272796630859,0.8819875717163086,0.9524259567260742,0.6587825417518616,0.7906976938247681,0.9855072498321533,0.00019999999494757503
fine-tuning,15,0.8909657597541809,0.9547039866447449,0.5449712872505188,0.8041542768478394,0.9854545593261719,0.8819875717163086,0.9575457572937012,0.6445522904396057,0.7906976938247681,0.9855072498321533,0.00019999999494757503
fine-tuning,16,0.8909657597541809,0.9520832300186157,0.5142841339111328,0.8023598790168762,0.9890909194946289,0.8819875717163086,0.9577032327651978,0.6300030946731567,0.7906976938247681,0.9855072498321533,0.00019999999494757503
fine-tuning,17,0.9049844145774841,0.9563190937042236,0.4990977346897125,0.8222891688346863,0.9927272796630859,0.8757764101028442,0.9577032327651978,0.6163281798362732,0.7882353067398071,0.9710144996643066,0.00019999999494757503
fine-tuning,18,0.8940809965133667,0.9517067670822144,0.5045698881149292,0.8071216344833374,0.9890909194946289,0.8757764101028442,0.9574669003486633,0.6024183034896851,0.7882353067398071,0.9710144996643066,0.00019999999494757503
fine-tuning,19,0.8971962332725525,0.9590685367584229,0.48321565985679626,0.8119403123855591,0.9890909194946289,0.8819875717163086,0.9574669003486633,0.589356005191803,0.7976190447807312,0.9710144996643066,0.00019999999494757503
fine-tuning,20,0.8940809965133667,0.9601188898086548,0.4539463222026825,0.8089552521705627,0.9854545593261719,0.8819875717163086,0.9568368196487427,0.5764140486717224,0.7976190447807312,0.9710144996643066,0.00019999999494757503
fine-tuning,21,0.9049844145774841,0.9615557193756104,0.4921678602695465,0.8242424130439758,0.9890909194946289,0.888198733329773,0.956915557384491,0.5634371638298035,0.8072289228439331,0.9710144996643066,0.00019999999494757503
fine-tuning,22,0.9018691778182983,0.9651225805282593,0.44585487246513367,0.817365288734436,0.9927272796630859,0.888198733329773,0.9568368196487427,0.5511704683303833,0.8072289228439331,0.9710144996643066,0.00019999999494757503
fine-tuning,23,0.8987538814544678,0.962402880191803,0.42060717940330505,0.8143712282180786,0.9890909194946289,0.888198733329773,0.9570730924606323,0.5392599701881409,0.8072289228439331,0.9710144996643066,0.00019999999494757503
fine-tuning,24,0.9065420627593994,0.9570770263671875,0.4251519441604614,0.8307692408561707,0.9818181991577148,0.888198733329773,0.9569942951202393,0.5278513431549072,0.8072289228439331,0.9710144996643066,0.00019999999494757503
fine-tuning,25,0.9049844145774841,0.9601486325263977,0.46700331568717957,0.8222891688346863,0.9927272796630859,0.888198733329773,0.9621927738189697,0.5158138871192932,0.8072289228439331,0.9710144996643066,0.00019999999494757503
fine-tuning,26,0.9049844145774841,0.956760048866272,0.44756826758384705,0.8262194991111755,0.9854545593261719,0.888198733329773,0.9621140956878662,0.5040773749351501,0.8072289228439331,0.9710144996643066,0.00019999999494757503
fine-tuning,27,0.9049844145774841,0.9613078236579895,0.40507522225379944,0.8262194991111755,0.9854545593261719,0.8819875717163086,0.9619565010070801,0.49326643347740173,0.8048780560493469,0.95652174949646,0.00019999999494757503
fine-tuning,28,0.9018691778182983,0.9563239812850952,0.4655708074569702,0.821212112903595,0.9854545593261719,0.888198733329773,0.9619565010070801,0.4818373918533325,0.8148148059844971,0.95652174949646,0.00019999999494757503
fine-tuning,29,0.9049844145774841,0.9664304852485657,0.3947766125202179,0.8242424130439758,0.9890909194946289,0.888198733329773,0.9615626931190491,0.47119206190109253,0.8148148059844971,0.95652174949646,0.00019999999494757503
