feature,importance_moyenne,methode
hgb,0.45289302273367166,shap
rbc,0.010452464495883171,shap
mcv,0.009553512929154748,shap
mentzer_index,0.007398656249499538,shap
sex,0.007369642774386437,shap
mch,0.006120441567623788,shap
hct,0.003899478256764388,shap
age,0.0032081169397959737,shap
mchc,0.0018028762562819426,shap
