phase,epoch,accuracy,auc,loss,precision,recall,val_accuracy,val_auc,val_loss,val_precision,val_recall,learning_rate
pré-entraînement,1,0.6100000143051147,0.6936684846878052,0.6552265882492065,0.791304349899292,0.5321637392044067,0.8650000095367432,0.9547525644302368,0.571678638458252,0.963302731513977,0.8203125,0.0010000000474974513
pré-entraînement,2,0.7850000262260437,0.8791966438293457,0.5481058359146118,0.9128329157829285,0.7348927855491638,0.9150000214576721,0.9704861044883728,0.44903862476348877,0.9663865566253662,0.8984375,0.0010000000474974513
pré-entraînement,3,0.8399999737739563,0.9272130727767944,0.4575224816799164,0.9287304878234863,0.8128654956817627,0.9300000071525574,0.9733615517616272,0.35023099184036255,0.9750000238418579,0.9140625,0.0010000000474974513
pré-entraînement,4,0.856249988079071,0.9418702125549316,0.38009539246559143,0.9326087236404419,0.8362573385238647,0.9399999976158142,0.9747721552848816,0.2815706729888916,0.9833333492279053,0.921875,0.0010000000474974513
pré-entraînement,5,0.8650000095367432,0.9417445659637451,0.34965309500694275,0.9510022401809692,0.8323586583137512,0.9449999928474426,0.975477397441864,0.24230685830116272,0.9834710955619812,0.9296875,0.0010000000474974513
pré-entraînement,6,0.8974999785423279,0.9464921951293945,0.32002535462379456,0.9556025266647339,0.8810915946960449,0.9300000071525574,0.9769423007965088,0.219002366065979,0.9672130942344666,0.921875,0.0010000000474974513
pré-entraînement,7,0.8862500190734863,0.955630898475647,0.28433841466903687,0.954741358757019,0.8635477423667908,0.9449999928474426,0.9784071445465088,0.20397841930389404,0.9834710955619812,0.9296875,0.0010000000474974513
pré-entraînement,8,0.8974999785423279,0.9655609726905823,0.25486451387405396,0.9556025266647339,0.8810915946960449,0.9599999785423279,0.9790581464767456,0.19095291197299957,0.9838709831237793,0.953125,0.0010000000474974513
pré-entraînement,9,0.893750011920929,0.964413046836853,0.24674375355243683,0.959227442741394,0.871345043182373,0.9549999833106995,0.9800347089767456,0.18214616179466248,0.9837398529052734,0.9453125,0.0010000000474974513
pré-entraînement,10,0.9075000286102295,0.9632515907287598,0.24323663115501404,0.9720430374145508,0.8810915946960449,0.9549999833106995,0.981553852558136,0.17189569771289825,0.9837398529052734,0.9453125,0.0010000000474974513
pré-entraînement,11,0.90625,0.9695342779159546,0.22231853008270264,0.9679487347602844,0.8830409646034241,0.9599999785423279,0.9823676347732544,0.1635255217552185,0.9838709831237793,0.953125,0.0010000000474974513
pré-entraînement,12,0.9225000143051147,0.9755859971046448,0.20589305460453033,0.9747368693351746,0.9025341272354126,0.9549999833106995,0.9833441972732544,0.1577388346195221,0.9837398529052734,0.9453125,0.0010000000474974513
pré-entraînement,13,0.9150000214576721,0.9708043336868286,0.21502269804477692,0.9664570093154907,0.8986355066299438,0.9599999785423279,0.9849717617034912,0.1487887054681778,0.9838709831237793,0.953125,0.0010000000474974513
pré-entraînement,14,0.9275000095367432,0.9765063524246216,0.19528844952583313,0.969072163105011,0.916179358959198,0.9549999833106995,0.9863823652267456,0.14104671776294708,0.9837398529052734,0.9453125,0.0010000000474974513
pré-entraînement,15,0.9275000095367432,0.9805883169174194,0.1836930811405182,0.9710144996643066,0.9142300486564636,0.9599999785423279,0.9883897304534912,0.13075803220272064,0.9838709831237793,0.953125,0.0010000000474974513
pré-entraînement,16,0.9362499713897705,0.9813863635063171,0.17952659726142883,0.9733606576919556,0.9259259104728699,0.9599999785423279,0.9900173544883728,0.12364471703767776,0.9838709831237793,0.953125,0.0010000000474974513
pré-entraînement,17,0.925000011920929,0.9833663105964661,0.16953842341899872,0.9808917045593262,0.9005848169326782,0.9649999737739563,0.9917533993721008,0.1148216649889946,0.984000027179718,0.9609375,0.0010000000474974513
pré-entraînement,18,0.9312499761581421,0.9824323654174805,0.17356832325458527,0.9711934328079224,0.9200779795646667,0.9649999737739563,0.9932183027267456,0.1084691509604454,0.984000027179718,0.9609375,0.0010000000474974513
pré-entraînement,19,0.9375,0.9868710041046143,0.15454229712486267,0.977319598197937,0.9239766001701355,0.9649999737739563,0.9943576455116272,0.10051006078720093,0.984000027179718,0.9609375,0.0010000000474974513
pré-entraînement,20,0.9362499713897705,0.9839164018630981,0.16203491389751434,0.9772727489471436,0.9220272898674011,0.9649999737739563,0.9947916865348816,0.09657631069421768,0.984000027179718,0.9609375,0.0010000000474974513
pré-entraînement,21,0.9337499737739563,0.9902975559234619,0.13995762169361115,0.9752066135406494,0.9200779795646667,0.9649999737739563,0.9957682490348816,0.08862031251192093,0.984000027179718,0.9609375,0.0010000000474974513
pré-entraînement,22,0.9437500238418579,0.9870001077651978,0.14912478625774384,0.9814814925193787,0.9298245906829834,0.9700000286102295,0.9974499940872192,0.08017875999212265,0.9841269850730896,0.96875,0.0010000000474974513
pré-entraînement,23,0.9474999904632568,0.9922128915786743,0.12726083397865295,0.9815950989723206,0.9356725215911865,0.9700000286102295,0.9978841543197632,0.07533501088619232,0.9841269850730896,0.96875,0.0010000000474974513
pré-entraînement,24,0.9537500143051147,0.9932724833488464,0.11654505878686905,0.9837398529052734,0.943469762802124,0.9700000286102295,0.9985893964767456,0.06985326111316681,0.9841269850730896,0.96875,0.0010000000474974513
pré-entraînement,25,0.9637500047683716,0.9953304529190063,0.10861867666244507,0.9859437942504883,0.9571149945259094,0.9700000286102295,0.9983724355697632,0.06669973582029343,0.9841269850730896,0.96875,0.0010000000474974513
pré-entraînement,26,0.9624999761581421,0.994338870048523,0.1051921546459198,0.9918533563613892,0.9493177533149719,0.9700000286102295,0.9987521171569824,0.06209564581513405,0.9841269850730896,0.96875,0.0010000000474974513
pré-entraînement,27,0.9712499976158142,0.9965394735336304,0.09305113554000854,0.9900000095367432,0.9649122953414917,0.9800000190734863,0.9990234375,0.056496769189834595,0.984375,0.984375,0.0010000000474974513
pré-entraînement,28,0.96875,0.997008204460144,0.09081172943115234,0.9860557913780212,0.9649122953414917,0.9700000286102295,0.9990234375,0.05327403172850609,0.9841269850730896,0.96875,0.0010000000474974513
pré-entraînement,29,0.9587500095367432,0.9947938919067383,0.09891578555107117,0.9838709831237793,0.9512670636177063,0.9750000238418579,0.9990234375,0.051328882575035095,0.9842519760131836,0.9765625,0.0010000000474974513
pré-entraînement,30,0.9750000238418579,0.997503936290741,0.07922669500112534,0.9939879775047302,0.9668616056442261,0.9800000190734863,0.999131977558136,0.04848708212375641,0.984375,0.984375,0.0010000000474974513
pré-entraînement,31,0.9674999713897705,0.9962711334228516,0.08860991150140762,0.9879759550094604,0.961013674736023,0.9800000190734863,0.9993489384651184,0.0467212051153183,0.984375,0.984375,0.0010000000474974513
pré-entraînement,32,0.9674999713897705,0.9960334300994873,0.08917322009801865,0.9860279560089111,0.9629629850387573,0.9800000190734863,0.99951171875,0.04332264885306358,0.984375,0.984375,0.0010000000474974513
